epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4467,0.73942,8.82285,1.00725,0.01773,0.20673,0.16031,0.15825,0.53324,7.22809,0.81835,0.0757,0.0027,0.0027
2,31.3314,0.50571,4.62794,0.89184,0.02798,0.46154,0.32307,0.30165,0.5117,6.32632,0.77574,0.0502822,0.0052822,0.0052822
3,45.8629,0.49498,3.64462,0.87606,0.99212,0.23077,0.41727,0.37655,0.57366,5.30387,0.89484,0.0246426,0.00764264,0.00764264
4,59.7179,0.52344,3.09793,0.8609,0.88409,0.76923,0.84192,0.7265,0.64512,2.82084,0.81722,0.008812,0.008812,0.008812
5,73.6203,0.52779,2.80021,0.88086,0.90742,0.80438,0.85361,0.73603,0.50878,2.5403,0.73382,0.008416,0.008416,0.008416
6,87.3636,0.49436,2.60058,0.86809,0.92889,0.76735,0.89815,0.77739,0.52735,2.03483,0.91367,0.00802,0.00802,0.00802
7,101.213,0.47446,2.3188,0.86699,0.88444,0.90643,0.91555,0.86751,0.41601,1.56116,0.96256,0.007624,0.007624,0.007624
8,115.631,0.44386,2.146,0.86459,0.87571,0.92308,0.93527,0.82112,0.39618,1.24052,0.84228,0.007228,0.007228,0.007228
9,129.355,0.43897,2.00904,0.85568,0.97939,0.92245,0.98737,0.88504,0.38243,1.0952,0.86145,0.006832,0.006832,0.006832
10,143.398,0.41921,1.93883,0.8596,0.87098,0.92308,0.95444,0.88289,0.39802,1.20503,0.84804,0.006436,0.006436,0.006436
11,157.242,0.3826,1.77614,0.84603,0.89563,0.93713,0.995,0.89061,0.40281,1.23746,0.9356,0.00604,0.00604,0.00604
12,171.571,0.38649,1.66957,0.84986,0.93219,1,0.995,0.94383,0.33851,0.96787,0.85796,0.005644,0.005644,0.005644
13,185.715,0.35688,1.52822,0.83823,0.97031,0.98817,0.995,0.9426,0.31418,0.97293,0.89759,0.005248,0.005248,0.005248
14,199.683,0.34482,1.43258,0.83904,0.89347,0.99125,0.995,0.95012,0.30606,0.89029,0.83558,0.004852,0.004852,0.004852
15,213.627,0.33133,1.37348,0.83394,0.89984,0.99573,0.995,0.95346,0.30692,0.8765,0.89398,0.004456,0.004456,0.004456
16,226.484,0.34936,1.9407,0.81686,0.98414,1,0.995,0.95096,0.28074,0.78081,0.90154,0.00406,0.00406,0.00406
17,239.552,0.33214,1.74543,0.82524,0.99022,1,0.995,0.96882,0.2775,0.70561,0.89814,0.003664,0.003664,0.003664
18,252.226,0.32251,1.5813,0.82897,0.98441,1,0.995,0.97102,0.29336,0.76673,0.90231,0.003268,0.003268,0.003268
19,264.854,0.30584,1.50408,0.81469,0.98691,1,0.995,0.96495,0.23733,0.7183,0.88899,0.002872,0.002872,0.002872
20,277.578,0.28679,1.40443,0.81082,0.98939,1,0.995,0.96361,0.22942,0.67856,0.89218,0.002476,0.002476,0.002476
21,290.533,0.26617,1.29352,0.81156,0.98804,1,0.995,0.96011,0.22057,0.65905,0.88886,0.00208,0.00208,0.00208
22,303.815,0.24681,1.26862,0.81428,0.9899,1,0.995,0.97823,0.19135,0.57774,0.88656,0.001684,0.001684,0.001684
23,316.568,0.23572,1.19659,0.8054,0.99119,1,0.995,0.98588,0.1662,0.53425,0.88227,0.001288,0.001288,0.001288
24,329.268,0.21807,1.14976,0.79472,0.99166,1,0.995,0.98735,0.18094,0.50654,0.88716,0.000892,0.000892,0.000892
25,341.965,0.20355,1.12651,0.80177,0.99228,1,0.995,0.98735,0.15478,0.51359,0.88122,0.000496,0.000496,0.000496
