epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7128,0.74569,8.77573,1.01457,0.06728,0.21429,0.21321,0.21229,0.5073,7.12653,0.78111,0.0757,0.0027,0.0027
2,32.6816,0.49443,4.6069,0.88656,0.0349,0.64286,0.42255,0.3876,0.45423,6.32414,0.78748,0.050137,0.005137,0.005137
3,47.7696,0.49659,3.54541,0.88529,0.84549,0.28571,0.60019,0.54059,0.4956,4.92679,0.85727,0.0242044,0.0072044,0.0072044
4,62.6711,0.52503,3.05498,0.86936,0.84982,0.675,0.83228,0.70749,0.51798,2.85024,0.80021,0.00802,0.00802,0.00802
5,77.6529,0.47627,2.82128,0.8699,0.88687,0.81786,0.83352,0.73858,0.45229,2.18183,0.80576,0.00736,0.00736,0.00736
6,91.571,0.47524,4.09372,0.87404,0.86478,0.97619,0.98323,0.85782,0.46527,1.48858,0.94142,0.0067,0.0067,0.0067
7,105.488,0.45959,3.48313,0.85662,0.91135,0.98212,0.995,0.92647,0.38736,1.47197,0.9393,0.00604,0.00604,0.00604
8,120.269,0.41985,3.04173,0.84154,0.95324,1,0.995,0.91466,0.3426,0.9841,0.93662,0.00538,0.00538,0.00538
9,135.273,0.39974,2.71362,0.83074,0.85218,0.99555,0.995,0.90606,0.34236,1.0702,0.93096,0.00472,0.00472,0.00472
10,152.79,0.37428,2.49174,0.82446,0.90022,1,0.995,0.93572,0.2864,0.8356,0.9251,0.00406,0.00406,0.00406
11,170.724,0.34388,2.26398,0.82464,0.98374,0.99959,0.995,0.94486,0.29609,0.77157,0.91882,0.0034,0.0034,0.0034
12,185.907,0.3247,2.11668,0.82633,0.98891,1,0.995,0.94823,0.27096,0.72246,0.91247,0.00274,0.00274,0.00274
13,201.228,0.29462,2.00766,0.81088,0.97906,1,0.995,0.98184,0.25109,0.65797,0.91273,0.00208,0.00208,0.00208
14,216.247,0.26086,1.85846,0.80457,0.98839,1,0.995,0.98079,0.20153,0.57301,0.89684,0.00142,0.00142,0.00142
15,231.446,0.23991,1.81284,0.79844,0.99024,1,0.995,0.995,0.17812,0.53169,0.89518,0.00076,0.00076,0.00076
