epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6424,0.7435,8.86528,1.0118,0.07287,0.25,0.18349,0.18114,0.52193,6.97378,0.7539,0.0757,0.0027,0.0027
2,42.797,0.48796,4.49439,0.87975,0.91752,0.14413,0.36641,0.35816,0.42718,6.26343,0.74909,0.0503185,0.0053185,0.0053185
3,64.4138,0.49381,3.52683,0.88024,0.86472,0.45934,0.7954,0.68438,0.55715,4.15715,0.77151,0.0247522,0.0077522,0.0077522
4,86.7917,0.54209,3.21379,0.86596,0.87437,0.69658,0.78864,0.70421,0.62888,2.96212,0.79115,0.00901,0.00901,0.00901
5,108.414,0.4921,2.92991,0.88053,0.92549,0.76923,0.76614,0.64172,0.52242,2.20649,0.80125,0.00868,0.00868,0.00868
6,129.649,0.49818,2.61875,0.8726,0.9336,0.76635,0.83765,0.74798,0.48426,2.12806,0.84608,0.00835,0.00835,0.00835
7,151.054,0.48537,2.3707,0.87242,0.87223,0.76923,0.84689,0.75836,0.46711,1.73586,0.94097,0.00802,0.00802,0.00802
8,172.296,0.44463,2.19471,0.86377,0.96473,0.76273,0.94278,0.81948,0.44197,1.52856,0.84927,0.00769,0.00769,0.00769
9,193.242,0.43823,2.02417,0.86071,0.83942,0.99531,0.95325,0.83642,0.44225,1.54286,0.83077,0.00736,0.00736,0.00736
10,214.443,0.42252,1.91706,0.86394,0.79436,0.90125,0.99331,0.89762,0.44146,1.45547,0.84958,0.00703,0.00703,0.00703
11,235.648,0.39728,1.79184,0.85467,0.98709,0.84615,0.94837,0.88024,0.37849,1.35941,0.94953,0.0067,0.0067,0.0067
12,256.471,0.39263,1.68062,0.851,0.96468,1,0.995,0.94435,0.35094,1.02884,0.94596,0.00637,0.00637,0.00637
13,276.501,0.38161,1.53277,0.84934,0.88688,0.9766,0.99375,0.92621,0.34191,1.12363,0.92869,0.00604,0.00604,0.00604
14,295.608,0.36491,1.41925,0.84144,0.90941,0.99032,0.991,0.93181,0.30141,0.87763,0.93212,0.00571,0.00571,0.00571
15,314.022,0.35351,1.38283,0.83885,0.89718,0.97633,0.991,0.92891,0.309,0.77597,0.93303,0.00538,0.00538,0.00538
16,331.717,0.34409,1.30197,0.8411,0.98288,1,0.995,0.9478,0.27318,0.71833,0.9184,0.00505,0.00505,0.00505
17,349.413,0.32357,1.21926,0.83437,0.98813,1,0.995,0.93342,0.26986,0.77014,0.92954,0.00472,0.00472,0.00472
18,369.39,0.31337,1.1669,0.83057,0.98285,1,0.995,0.97091,0.28198,0.7267,0.92462,0.00439,0.00439,0.00439
19,390.553,0.29871,1.07694,0.82722,0.97393,0.99374,0.995,0.96395,0.23639,0.65251,0.91818,0.00406,0.00406,0.00406
20,407.384,0.28687,1.03132,0.8198,0.97197,0.97556,0.995,0.95023,0.27591,0.72088,0.92571,0.00373,0.00373,0.00373
21,421.116,0.30185,1.39512,0.83138,0.99191,1,0.995,0.95569,0.21921,0.59093,0.91392,0.0034,0.0034,0.0034
22,435.397,0.29362,1.30003,0.83202,0.98621,1,0.995,0.9841,0.23434,0.59075,0.91219,0.00307,0.00307,0.00307
23,449.234,0.29021,1.24845,0.81751,0.9752,1,0.995,0.97887,0.20446,0.55523,0.91515,0.00274,0.00274,0.00274
24,463.993,0.26754,1.13526,0.83636,0.98325,1,0.995,0.9869,0.18813,0.54213,0.909,0.00241,0.00241,0.00241
25,482.044,0.23729,1.0667,0.80545,0.98917,1,0.995,0.98695,0.17711,0.57553,0.89927,0.00208,0.00208,0.00208
26,500.929,0.23711,1.02797,0.81013,0.98956,1,0.995,0.98409,0.19531,0.52204,0.90518,0.00175,0.00175,0.00175
27,519.629,0.22299,0.98981,0.8045,0.98771,1,0.995,0.97969,0.16205,0.4367,0.9013,0.00142,0.00142,0.00142
28,538.529,0.21435,0.9513,0.79378,0.9913,1,0.995,0.995,0.15867,0.42451,0.90238,0.00109,0.00109,0.00109
29,557.351,0.19755,0.91589,0.80015,0.99378,1,0.995,0.995,0.13738,0.42441,0.90079,0.00076,0.00076,0.00076
30,576.193,0.1959,0.91397,0.80531,0.99322,1,0.995,0.995,0.13673,0.42788,0.90069,0.00043,0.00043,0.00043
